"","Year","Region","Export_Total"
"620",2020,"World",NA
"621",1990,"Asia",NA
"622",1990,"Africa",NA
"623",1990,"Pacific",NA
"624",1990,"Middle East",NA
"625",1990,"World",NA
"626",1991,"Asia",NA
"627",1991,"Africa",NA
"628",1991,"Pacific",NA
"629",1991,"Middle East",NA
"630",1991,"World",NA
"631",1992,"Asia",NA
"632",1992,"Africa",NA
"633",1992,"Pacific",NA
"634",1992,"Middle East",NA
"635",1992,"World",NA
"636",1993,"Asia",NA
"637",1993,"Africa",NA
"638",1993,"Pacific",NA
"639",1993,"Middle East",NA
"640",1993,"World",NA
"641",1994,"Asia",NA
"642",1994,"Africa",NA
"643",1994,"Pacific",NA
"644",1994,"Middle East",NA
"645",1994,"World",NA
"646",1995,"Asia",NA
"647",1995,"Africa",NA
"648",1995,"Pacific",NA
"649",1995,"Middle East",NA
"650",1995,"World",NA
"651",1996,"Asia",NA
"652",1996,"Africa",NA
"653",1996,"Pacific",NA
"654",1996,"Middle East",NA
"655",1996,"World",NA
"656",1997,"Asia",NA
"657",1997,"Africa",NA
"658",1997,"Pacific",NA
"659",1997,"Middle East",NA
"660",1997,"World",NA
"661",1998,"Asia",NA
"662",1998,"Africa",NA
"663",1998,"Pacific",NA
"664",1998,"Middle East",NA
"665",1998,"World",NA
"666",1999,"Asia",NA
"667",1999,"Africa",NA
"668",1999,"Pacific",NA
"669",1999,"Middle East",NA
"670",1999,"World",NA
"671",2000,"Asia",NA
"672",2000,"Africa",NA
"673",2000,"Pacific",NA
"674",2000,"Middle East",NA
"675",2000,"World",NA
"676",2001,"Asia",NA
"677",2001,"Africa",NA
"678",2001,"Pacific",NA
"679",2001,"Middle East",NA
"680",2001,"World",NA
"681",2002,"Asia",NA
"682",2002,"Africa",NA
"683",2002,"Pacific",NA
"684",2002,"Middle East",NA
"685",2002,"World",NA
"686",2003,"Asia",NA
"687",2003,"Africa",NA
"688",2003,"Pacific",NA
"689",2003,"Middle East",NA
"690",2003,"World",NA
"691",2004,"Asia",NA
"692",2004,"Africa",NA
"693",2004,"Pacific",NA
"694",2004,"Middle East",NA
"695",2004,"World",NA
"696",2005,"Asia",NA
"697",2005,"Africa",NA
"698",2005,"Pacific",NA
"699",2005,"Middle East",NA
"700",2005,"World",NA
"701",2006,"Asia",NA
"702",2006,"Africa",NA
"703",2006,"Pacific",NA
"704",2006,"Middle East",NA
"705",2006,"World",NA
"706",2007,"Asia",NA
"707",2007,"Africa",NA
"708",2007,"Pacific",NA
"709",2007,"Middle East",NA
"710",2007,"World",NA
"711",2008,"Asia",NA
"712",2008,"Africa",NA
"713",2008,"Pacific",NA
"714",2008,"Middle East",NA
"715",2008,"World",NA
"716",2009,"Asia",NA
"717",2009,"Africa",NA
"718",2009,"Pacific",NA
"719",2009,"Middle East",NA
"720",2009,"World",NA
"721",2010,"Asia",NA
"722",2010,"Africa",NA
"723",2010,"Pacific",NA
"724",2010,"Middle East",NA
"725",2010,"World",NA
"726",2011,"Asia",NA
"727",2011,"Africa",NA
"728",2011,"Pacific",NA
"729",2011,"Middle East",NA
"730",2011,"World",NA
"731",2012,"Asia",NA
"732",2012,"Africa",NA
"733",2012,"Pacific",NA
"734",2012,"Middle East",NA
"735",2012,"World",NA
"736",2013,"Asia",NA
"737",2013,"Africa",NA
"738",2013,"Pacific",NA
"739",2013,"Middle East",NA
"740",2013,"World",NA
"741",2014,"Asia",NA
"742",2014,"Africa",NA
"743",2014,"Pacific",NA
"744",2014,"Middle East",NA
"745",2014,"World",NA
"746",2015,"Asia",NA
"747",2015,"Africa",NA
"748",2015,"Pacific",NA
"749",2015,"Middle East",NA
"750",2015,"World",NA
"751",2016,"Asia",NA
"752",2016,"Africa",NA
"753",2016,"Pacific",NA
"754",2016,"Middle East",NA
"755",2016,"World",NA
"756",2017,"Asia",NA
"757",2017,"Africa",NA
"758",2017,"Pacific",NA
"759",2017,"Middle East",NA
"760",2017,"World",NA
"761",2018,"Asia",NA
"762",2018,"Africa",NA
"763",2018,"Pacific",NA
"764",2018,"Middle East",NA
"765",2018,"World",NA
"766",2019,"Asia",NA
"767",2019,"Africa",NA
"768",2019,"Pacific",NA
"769",2019,"Middle East",NA
"770",2019,"World",NA
"771",2020,"Asia",NA
"772",2020,"Africa",NA
"773",2020,"Pacific",NA
"774",2020,"Middle East",NA
"775",2020,"World",NA
"776",1990,"Asia",NA
"777",1990,"Africa",NA
"778",1990,"Pacific",NA
"779",1990,"Middle East",NA
"780",1990,"World",NA
"781",1991,"Asia",NA
"782",1991,"Africa",NA
"783",1991,"Pacific",NA
"784",1991,"Middle East",NA
"785",1991,"World",NA
"786",1992,"Asia",NA
"787",1992,"Africa",NA
"788",1992,"Pacific",NA
"789",1992,"Middle East",NA
"790",1992,"World",NA
"791",1993,"Asia",NA
"792",1993,"Africa",NA
"793",1993,"Pacific",NA
"794",1993,"Middle East",NA
"795",1993,"World",NA
"796",1994,"Asia",NA
"797",1994,"Africa",NA
"798",1994,"Pacific",NA
"799",1994,"Middle East",NA
"800",1994,"World",NA
"801",1995,"Asia",NA
"802",1995,"Africa",NA
"803",1995,"Pacific",NA
"804",1995,"Middle East",NA
"805",1995,"World",NA
"806",1996,"Asia",NA
"807",1996,"Africa",NA
"808",1996,"Pacific",NA
"809",1996,"Middle East",NA
"810",1996,"World",NA
"811",1997,"Asia",NA
"812",1997,"Africa",NA
"813",1997,"Pacific",NA
"814",1997,"Middle East",NA
"815",1997,"World",NA
"816",1998,"Asia",NA
"817",1998,"Africa",NA
"818",1998,"Pacific",NA
"819",1998,"Middle East",NA
"820",1998,"World",NA
"821",1999,"Asia",NA
"822",1999,"Africa",NA
"823",1999,"Pacific",NA
"824",1999,"Middle East",NA
"825",1999,"World",NA
"826",2000,"Asia",NA
"827",2000,"Africa",NA
"828",2000,"Pacific",NA
"829",2000,"Middle East",NA
"830",2000,"World",NA
"831",2001,"Asia",NA
"832",2001,"Africa",NA
"833",2001,"Pacific",NA
"834",2001,"Middle East",NA
"835",2001,"World",NA
"836",2002,"Asia",NA
"837",2002,"Africa",NA
"838",2002,"Pacific",NA
"839",2002,"Middle East",NA
"840",2002,"World",NA
"841",2003,"Asia",NA
"842",2003,"Africa",NA
"843",2003,"Pacific",NA
"844",2003,"Middle East",NA
"845",2003,"World",NA
"846",2004,"Asia",NA
"847",2004,"Africa",NA
"848",2004,"Pacific",NA
"849",2004,"Middle East",NA
"850",2004,"World",NA
"851",2005,"Asia",NA
"852",2005,"Africa",NA
"853",2005,"Pacific",NA
"854",2005,"Middle East",NA
"855",2005,"World",NA
"856",2006,"Asia",NA
"857",2006,"Africa",NA
"858",2006,"Pacific",NA
"859",2006,"Middle East",NA
"860",2006,"World",NA
"861",2007,"Asia",NA
"862",2007,"Africa",NA
"863",2007,"Pacific",NA
"864",2007,"Middle East",NA
"865",2007,"World",NA
"866",2008,"Asia",NA
"867",2008,"Africa",NA
"868",2008,"Pacific",NA
"869",2008,"Middle East",NA
"870",2008,"World",NA
"871",2009,"Asia",NA
"872",2009,"Africa",NA
"873",2009,"Pacific",NA
"874",2009,"Middle East",NA
"875",2009,"World",NA
"876",2010,"Asia",NA
"877",2010,"Africa",NA
"878",2010,"Pacific",NA
"879",2010,"Middle East",NA
"880",2010,"World",NA
"881",2011,"Asia",NA
"882",2011,"Africa",NA
"883",2011,"Pacific",NA
"884",2011,"Middle East",NA
"885",2011,"World",NA
"886",2012,"Asia",NA
"887",2012,"Africa",NA
"888",2012,"Pacific",NA
"889",2012,"Middle East",NA
"890",2012,"World",NA
"891",2013,"Asia",NA
"892",2013,"Africa",NA
"893",2013,"Pacific",NA
"894",2013,"Middle East",NA
"895",2013,"World",NA
"896",2014,"Asia",NA
"897",2014,"Africa",NA
"898",2014,"Pacific",NA
"899",2014,"Middle East",NA
"900",2014,"World",NA
"901",2015,"Asia",NA
"902",2015,"Africa",NA
"903",2015,"Pacific",NA
"904",2015,"Middle East",NA
"905",2015,"World",NA
"906",2016,"Asia",NA
"907",2016,"Africa",NA
"908",2016,"Pacific",NA
"909",2016,"Middle East",NA
"910",2016,"World",NA
"911",2017,"Asia",NA
"912",2017,"Africa",NA
"913",2017,"Pacific",NA
"914",2017,"Middle East",NA
"915",2017,"World",NA
"916",2018,"Asia",NA
"917",2018,"Africa",NA
"918",2018,"Pacific",NA
"919",2018,"Middle East",NA
"920",2018,"World",NA
"921",2019,"Asia",NA
"922",2019,"Africa",NA
"923",2019,"Pacific",NA
"924",2019,"Middle East",NA
"925",2019,"World",NA
"926",2020,"Asia",NA
